Cyprinodon nevadensis amargosae collection - November 2014,,,,,,,,,
,,,,,,,,,
fish #,population,collection date,sex,SL (mm),body mass (g),pelvic fins,eye diameter (mm),head length (mm),body depth (mm)
1473,bore,Nov 2014,M,44.3,2.84,2,2.93,11.8,15.33
1474,bore,Nov 2014,M,37.5,1.99,2,3.08,10.19,13.07
1475,bore,Nov 2014,M,36.95,1.64,left,2.55,10.03,12.17
1476,bore,Nov 2014,M,34.7,1.29,2,2.77,10.13,11.25
1477,bore,Nov 2014,M,36.6,1.62,2,2.78,10.98,12.82
1478,bore,Nov 2014,F,32.1,0.95,2,2.52,8.875,9.674
1479,bore,Nov 2014,F,33.5,1.17,0,2.7,9.309,11.06
1480,bore,Nov 2014,F,31.4,1.08,2,2.75,9.048,10.37
1481,bore,Nov 2014,M,33.5,1.27,2,2.55,10.1,11.05
1482,bore,Nov 2014,F,32.75,1.17,right,2.64,9.351,10.27
1483,bore,Nov 2014,M,32.7,1.17,2,2.7,9.496,11.1
1484,bore,Nov 2014,F,25.65,0.53,left,2.17,7.573,7.474
1485,bore,Nov 2014,M,33.35,1.08,2,2.9,9.175,10.23
1486,bore,Nov 2014,F,32.95,1.13,2,2.79,10.39,10.59
1487,bore,Nov 2014,F,29.95,0.78,left,2.58,8.813,9.143
1488,bore,Nov 2014,M,29.95,0.68,0,2.4,8.873,8.607
1489,bore,Nov 2014,F,28.7,0.67,left,2.4,8.506,8.622
1490,bore,Nov 2014,M,35.4,1.53,left,2.81,9.994,12.2
1491,bore,Nov 2014,M,48.3,2.98,2,3.43,14.85,18.34
1492,bore,Nov 2014,M,29.35,0.92,right,2.81,9.628,10.31
1493,bore,Nov 2014,F,34.15,1.08,0,2.64,9.665,10.34
1494,bore,Nov 2014,F,37.75,1.66,2,3.51,11.57,12.88
1495,bore,Nov 2014,F,25.1,0.53,2,2.28,7.848,7.982
1496,bore,Nov 2014,M,34.85,1.42,2,2.69,10.46,11.84
1497,bore,Nov 2014,F,30.75,0.87,left,2.55,9.692,9.296
1498,bore,Nov 2014,M,32.4,0.85,2,2.52,8.99,9.148
1499,bore,Nov 2014,M,28.9,0.83,2,2.52,8.917,9.309
1500,bore,Nov 2014,F,29.1,0.8,2,2.61,9.432,9.546
1501,bore,Nov 2014,F,30.25,0.94,2,2.61,9.255,9.868
1502,bore,Nov 2014,M,34.9,1.58,2,2.81,11.07,12.7
1503,bore,Nov 2014,F,20.85,0.29,2,2,6.808,6.211
1504,bore,Nov 2014,F,26.25,0.58,left,2.26,7.701,7.714
1505,bore,Nov 2014,F,39.2,1.7,left,3.12,11.46,12.1
1506,bore,Nov 2014,M,33.95,1.23,0,2.77,9.971,10.72
1507,bore,Nov 2014,F,29.25,0.7,left,2.38,8.738,8.536
1508,bore,Nov 2014,F,30.6,0.88,2,2.55,10.19,9.416
1509,bore,Nov 2014,M,44.8,3.38,2,3.25,13.22,16.5
1510,bore,Nov 2014,M,48.2,3.75,left,3.16,13.97,17.57
1511,bore,Nov 2014,F,30.25,0.78,2,2.6,9.655,9.318
1512,bore,Nov 2014,M,39.55,1.69,2,2.86,11.2,12.98
1513,bore,Nov 2014,M,34.15,1.38,0,2.61,9.966,11.54
1514,bore,Nov 2014,M,44.1,3.31,2,3.39,14.45,16.97
1515,bore,Nov 2014,M,34.35,1.28,2,2.64,10.14,10.88
1516,bore,Nov 2014,M,42,2.69,2,3.29,13.4,15.55
1517,bore,Nov 2014,M,35.6,1.55,0,2.99,12.06,12.31
1518,bore,Nov 2014,F,30.05,0.89,right,2.59,9.049,9.582
1519,bore,Nov 2014,F,32.25,1.08,2,2.68,9.243,9.758
1520,bore,Nov 2014,M,40.35,2.31,2,2.9,12.21,13.62
1521,bore,Nov 2014,F,31.25,0.77,2,2.46,9.078,8.366
1522,bore,Nov 2014,M,34.35,1.33,2,2.78,10.31,11.44
1523,bore,Nov 2014,M,36.7,1.54,0,2.72,10.92,11.93
1524,bore,Nov 2014,F,31.75,0.86,2,2.49,8.991,8.974
1525,bore,Nov 2014,F,33.25,1.07,2,2.47,9.338,10.42
1526,bore,Nov 2014,M,31.2,0.81,left,2.81,8.948,10.36
1527,bore,Nov 2014,F,28.1,0.59,2,2.37,8.26,8.094
1528,bore,Nov 2014,F,36.15,1.63,right,2.87,11.06,12.22
1529,bore,Nov 2014,M,32.15,1.1,right,2.37,8.909,10.19
1530,bore,Nov 2014,F,32.55,1.03,0,2.58,9.173,10.03
1531,bore,Nov 2014,M,32.7,1.27,right,2.68,10.19,11.2
1532,bore,Nov 2014,M,33.6,1.32,2,2.2,9.839,11.07
1533,bore,Nov 2014,M,29.45,0.84,2,2.28,8.873,9.707
1534,bore,Nov 2014,M,33.4,1.24,2,2.59,9.883,10.81
1535,bore,Nov 2014,F,33.45,0.96,2,2.42,8.697,9.444
1536,bore,Nov 2014,F,29.45,0.98,2,2.33,8.829,9.356
1537,bore,Nov 2014,M,36.05,1.38,2,2.77,10.45,11.29
1538,bore,Nov 2014,F,37,1.4,2,2.77,10.85,11.2
1539,bore,Nov 2014,M,40,2.31,2,2.77,11.77,14.32
1540,bore,Nov 2014,F,30.15,0.77,2,2.33,7.818,9.004
1541,bore,Nov 2014,F,26.05,0.58,2,2.28,7.291,8.053
1542,bore,Nov 2014,M,33,1.06,right,2.86,8.873,10.06
1543,bore,Nov 2014,F,30.05,0.85,right,2.59,8.829,9.18
1544,bore,Nov 2014,M,30.6,0.94,right,2.2,9.004,9.707
1545,bore,Nov 2014,M,34.25,1.29,2,2.77,10.94,11.16
1546,bore,Nov 2014,M,32.55,1.12,2,2.64,8.609,10.5
1547,bore,Nov 2014,M,43.6,3.31,2,4.04,14.1,17.61
1548,bore,Nov 2014,M,35.3,1.41,2,2.59,10.41,11.11
1549,bore,Nov 2014,F,32.95,1.02,2,2.42,9.839,9.927
1550,bore,Nov 2014,M,33.4,1.39,2,2.5,9.751,11.73
1551,bore,Nov 2014,F,34.8,1.27,2,2.46,10.23,10.67
1552,bore,Nov 2014,F,28.75,0.72,2,2.37,8.126,8.741
1553,bore,Nov 2014,M,32.1,0.92,right,2.42,8.96,10.1
1554,bore,Nov 2014,M,32.45,1.23,2,2.42,9.224,10.76
1555,bore,Nov 2014,F,25.7,0.45,0,2.11,6.632,7.159
1556,bore,Nov 2014,F,26.7,0.49,2,1.76,7.467,7.203
1557,bore,Nov 2014,M,34,1.04,right,2.68,10.06,10.37
1558,bore,Nov 2014,F,29.3,0.65,2,2.77,8.785,8.214
1559,bore,Nov 2014,M,30.05,0.71,2,2.64,9.18,9.663
1560,bore,Nov 2014,F,32.45,0.93,left,2.24,9.443,8.565
1561,bore,Nov 2014,F,32.7,1.02,0,2.64,7.533,9.927
1562,bore,Nov 2014,M,26.65,0.45,0,2.06,7.555,7.203
1563,bore,Nov 2014,F,23.7,0.35,right,2.2,6.94,6.588
1564,bore,Nov 2014,M,31.35,0.79,2,2.64,8.61,8.873
1565,bore,Nov 2014,F,30.25,0.78,right,2.59,8.301,8.829
1566,bore,Nov 2014,M,32.3,0.93,2,2.99,9.971,9.883
1567,bore,Nov 2014,F,32.3,0.74,2,2.77,10.06,9.18
1568,bore,Nov 2014,F,34.05,1.08,left,2.94,9.839,10.45
1569,bore,Nov 2014,F,29.75,0.82,0,2.9,9.487,9.795
1570,bore,Nov 2014,F,29.7,0.68,0,2.58,8.843,8.521
1571,bore,Nov 2014,M,27.95,0.55,2,2.67,8.14,7.906
1572,bore,Nov 2014,F,26,0.5,0,2.23,8.638,7.994
1573,bore,Nov 2014,M,31.15,0.71,2,2.77,9.795,9.356
1574,bore,Nov 2014,M,31.8,0.92,0,2.46,9.487,9.619
1575,bore,Nov 2014,M,34.45,1.25,2,2.68,10.45,11.24
1576,bore,Nov 2014,F,27.85,0.51,2,2.34,8.111,7.965
1577,bore,Nov 2014,F,28.05,0.53,0,2.34,8.199,7.994
1578,bore,Nov 2014,M,33.7,1.07,2,2.81,9.575,10.76
1579,bore,Nov 2014,M,40.3,1.96,0,3.08,12.21,13.31
1580,bore,Nov 2014,M,32.25,0.91,2,2.55,9.18,10.1
1581,bore,Nov 2014,M,33.55,0.92,2,2.99,10.01,10.15
